15 16 4

0	0	.01	.9
0	.01	.8	.4
0	.1	.2	.22
0	0	0	0		0 1
					0 0


0	0	0	0
0	.1	.1	.5
0	0	.9	.96
0	0	.8	.98		0 0
					0 1


.9 	.89	.17	0
.9 	.8	.3	0
.6 	.3	.2	0
.1 	0	0	0		1 0
					0 0


.78	.5	.21	0
.4	.3	0	0
0	0	.01	0
0	0	0	0		1 0
					0 0


.01	0	.02	0
0	0	0	.001
0	.09	0	0
0	0	.1	0		0 0
					0 0


0	0	0	0
.3	.07	0	0
.78	.5	.1	0
.99	.8	.21	0		0 0
					1 0


0	0	0	0
.03	.01	0	0
.6	.7	.2	0
.89	.8	.4	.02		0 0
					1 0


.2	0	0	0
0	0	.07	0
0	0	0	0
0	.1	0	.04		0 0
					0 0


0	0	0	0
0	0	.02	.02
0	.08	.54	.6
0	.1	.7	.8		0 0
					0 1


0	.03	.49	.86
0	.01	.67	.7
0	0	.23	.3
0	0	0	0		0 1
					0 0


.08	.39	.78	.9
0	.19	.6	.8
0	0	.37	.48
0	0	0	.07		0 1
					0 0


0	0	.01	0
0	.01	0	0
0	0	0	0
.02	0	.04	0		0 0
					0 0


0	0	0	0
0	0	0	.2
0	.09	.56	.7
0	.28	.8	.89		0 0
					0 1


.01	0	0	0
.1	.06	.01	0
.56	.38	.03	0
.99	.6	.16	.02		0 0
					1 0


.99	.58	.1	0
.5	.39	.06	0
.2	.07	.01	0
.01	0	0	0		1 0
					0 0
